,x,y,Cluster,tires,numtire
292,4.558694,-74.122674,43,26,26
293,4.558657,-74.135261,43,57,57
294,4.680724,-74.117112,47,12,12
295,4.628259,-74.170742,6,108,108
296,4.626009,-74.177631,6,101,101
297,4.625926,-74.184518,6,44,44
298,4.61318,-74.195232,45,14,14
299,4.614144,-74.197766,45,119,119
300,4.704055,-74.122537,9,15,15
301,4.680697,-74.10004,38,9,9
302,4.68371,-74.102523,38,14,14
303,4.681515,-74.099254,38,13,13
304,4.646835,-74.078934,44,5,5
305,4.656809,-74.078219,12,22,22
306,4.660949,-74.077522,12,128,128
307,4.580588,-74.157497,27,13,13
308,4.586341,-74.168634,27,32,32
309,4.58548,-74.164016,27,20,20
310,4.577972,-74.165181,27,45,45
311,4.580883,-74.156373,27,37,37
312,4.550407,-74.137892,7,9,9
313,4.657834,-74.064927,41,34,34
314,4.719279,-74.093529,3,48,48
315,4.628311,-74.171206,6,18,18
316,4.738297,-74.099251,22,28,28
317,4.752311,-74.087363,28,53,53
318,4.748105,-74.106446,22,21,21
319,4.737614,-74.100161,22,73,73
320,4.668887,-74.0634,40,6,6
321,4.663817,-74.075924,40,68,68
322,4.666218,-74.07389,40,26,26
323,4.6805,-74.133129,47,60,60
324,4.680406,-74.139367,11,18,18
325,4.602243,-74.077806,15,24,24
326,4.590366,-74.174799,2,41,41
327,4.603497,-74.179712,34,6,6
328,4.604311,-74.179622,34,11,11
329,4.608722,-74.180903,34,7,7
330,4.622425,-74.186636,6,15,15
331,4.628643,-74.195434,25,37,37
332,4.599101,-74.17999,34,41,41
333,4.607315,-74.183494,34,10,10
334,4.622986,-74.181993,6,21,21
335,4.595578,-74.144698,8,30,30
336,4.594001,-74.113554,32,7,7
337,4.591786,-74.088824,46,23,23
338,4.595547,-74.074634,15,9,9
339,4.609365,-74.099077,42,16,16
340,4.61987,-74.102601,14,12,12
341,4.633666,-74.111549,49,2,2
342,4.633318,-74.11243,49,15,15
343,4.624766,-74.113154,14,4,4
344,4.665718,-74.15085,11,18,18
345,4.682158,-74.147598,11,12,12
346,4.555296,-74.137041,7,65,65
347,4.547202,-74.137573,48,18,18
348,4.520396,-74.119437,39,32,32
349,4.509804,-74.104944,19,4,4
350,4.63779,-74.065701,44,3,3
351,4.571956,-74.125638,43,24,24
352,4.58015,-74.105513,0,19,19
353,4.56221,-74.129379,43,26,26
354,4.558372,-74.135324,43,9,9
355,4.564197,-74.136273,43,8,8
356,4.586007,-74.135319,33,8,8
357,4.584723,-74.122401,16,13,13
358,4.593494,-74.072587,15,6,6
359,4.58966,-74.085027,15,34,34
360,4.604335,-74.100194,42,3,3
361,4.604897,-74.099244,42,20,20
362,4.614528,-74.083588,5,8,8
363,4.626995,-74.08437,30,3,3
364,4.679528,-74.082884,35,7,7
365,4.68493,-74.065118,1,4,4
366,4.684757,-74.064291,1,81,81
368,4.667407,-74.072773,40,3,3
369,4.656918,-74.066519,41,8,8
370,4.581724,-74.162198,27,116,116
371,4.591526,-74.165216,2,69,69
372,4.714284,-74.126671,24,2,2
373,4.707282,-74.10724,3,11,11
374,4.707102,-74.109686,3,30,30
375,4.693224,-74.114319,9,16,16
376,4.693137,-74.119754,9,25,25
377,4.695712,-74.118639,9,2,2
378,4.685118,-74.096867,17,3,3
379,4.685486,-74.086615,17,20,20
380,4.676631,-74.090773,38,8,8
381,4.676966,-74.149097,11,6,6
382,4.685537,-74.13912,11,40,40
383,4.697658,-74.154842,11,10,10
385,4.739969,-74.057425,4,1,1
386,4.739964,-74.040033,36,5,5
387,4.737907,-74.022734,36,21,21
388,4.767894,-74.028768,21,9,9
389,4.765061,-74.031329,21,9,9
390,4.760368,-74.036005,21,5,5
391,4.75385,-74.057398,4,7,7
392,4.748932,-74.047512,4,14,14
393,4.748729,-74.050169,4,1,1
394,4.698466,-74.073796,1,1,1
395,4.577349,-74.164472,27,51,51
396,4.664257,-74.070186,40,70,70
397,4.558552,-74.13817,7,42,42
398,4.591863,-74.176762,2,19,19
399,4.596884,-74.175385,2,19,19
400,4.656777,-74.07824,12,21,21
401,4.661145,-74.076141,12,17,17
402,4.662514,-74.074343,40,92,92
403,4.660584,-74.067047,41,11,11
404,4.661532,-74.072901,40,3,3
405,4.667379,-74.072418,40,2,2
406,4.674892,-74.075415,35,20,20
407,4.675483,-74.073704,35,6,6
408,4.673044,-74.069741,35,9,9
409,4.696549,-74.123097,9,58,58
410,4.698852,-74.129704,9,25,25
411,4.701053,-74.129817,9,7,7
412,4.580558,-74.142487,33,2,2
413,4.673903,-74.104737,38,89,89
414,4.588072,-74.141707,33,11,11
415,4.618727,-74.139195,26,15,15
416,4.618609,-74.139517,26,24,24
417,4.603166,-74.144218,8,51,51
418,4.603604,-74.09457,42,50,50
419,4.597741,-74.0854,46,16,16
420,4.597967,-74.090453,46,26,26
421,4.602717,-74.092407,46,62,62
422,4.614158,-74.074357,29,93,93
423,4.612052,-74.080601,5,5,5
424,4.624774,-74.092182,30,2,2
425,4.605427,-74.099347,42,2,2
426,4.607598,-74.10698,32,9,9
427,4.599036,-74.107844,32,15,15
428,4.598359,-74.119014,32,1,1
429,4.604453,-74.146199,8,9,9
430,4.59578,-74.161963,2,9,9
431,4.5942,-74.172734,2,3,3
432,4.59589,-74.174368,2,1,1
433,4.583638,-74.164496,27,2,2
434,4.578629,-74.166529,27,8,8
435,4.58311,-74.161714,27,4,4
436,4.580282,-74.157065,27,20,20
437,4.571086,-74.144408,7,3,3
438,4.560315,-74.141452,7,5,5
